TeamMember,Title,Plays
Marvelous Entertainment,"Flower, Sun, and Rain: Murder and Mystery in Paradise",408.0
Maxis,Spore,6000.0
Mediatonic,Fall Guys,16000.0
Microsoft,Metal Gear Solid,12000.0
Microsoft Game Studios,Limbo,13000.0
Miro Haverinen,Fear & Hunger,110.0
Mojang Studios,Minecraft,33000.0
Moon Studios,Ori and the Will of the Wisps,6000.0
Moonsprout Games,Bug Fables: The Everlasting Sapling,1000.0
Mundfish,Atomic Heart,983.0
NEOWIZ,Lies of P,5.0
NIS America,Persona 4 Golden,13000.0
NOVECT,The House in Fata Morgana: A Requiem for Innocence,625.0
NOW Production,Pac-Man World Re-Pac,368.0
Namco,Ridge Racer Type 4,1000.0
Naughty Dog,The Last of Us,17000.0
Ndemic Creations,Plague Inc: Evolved,4000.0
Necrophone Games,Jazzpunk,935.0
NetherRealm Studios,Mortal Kombat 11,5000.0
New Blood Interactive,Gloomwood,265.0
Nex Entertainment,Bayonetta,13000.0
Next Level Games,Mario Strikers: Battle League,932.0
Niantic Labs,Pokémon Go,14000.0
Nintendo,The Legend of Zelda: Breath of the Wild,30000.0
Nintendo Australia,Phoenix Wright: Ace Attorney,12000.0
Nintendo EAD,Super Mario Galaxy,21000.0
Nintendo EAD Group No. 1,Mario Kart DS,15000.0
Nintendo EAD Software Development Group No.3,The Legend of Zelda: Twilight Princess,10000.0
Nintendo EPD,Animal Crossing: New Horizons,20000.0
Nintendo EPD Production Group No. 3,The Legend of Zelda: Breath of the Wild,30000.0
Nintendo R&D1,Super Metroid,11000.0
Nintendo R&D4,Super Mario Bros.,18000.0
Nintendo of America,Mario Kart 8 Deluxe,19000.0
Obsidian Entertainment,Fallout: New Vegas,16000.0
Omega Force,Wild Hearts,73.0
Origin Systems,System Shock,544.0
PLAYISM,Ib,787.0
PagodaWest Games,Sonic Mania,12000.0
Pionner LDC,Serial Experiments Lain,397.0
PlatinumGames,NieR: Automata,18000.0
Playdead,Limbo,13000.0
PopCap Games,Plants vs. Zombies,14000.0
Private Division,Rollerdrome,431.0
Project Moon,Lobotomy Corporation,621.0
Psyonix,Rocket League,17000.0
Punchline,Chulip,308.0
QLOC,Dark Souls: Remastered,11000.0
Quantic Dream,Detroit: Become Human,11000.0
Rare,Donkey Kong Country,11000.0
Raw Fury,Norco,809.0
Re-Logic,Terraria,18000.0
Ready at Dawn,God of War: Chains of Olympus,4000.0
Remedy Entertainment,Alan Wake Remastered,690.0
Respawn Entertainment,Star Wars Jedi: Fallen Order,13000.0
Retro Studios,Metroid Prime 2: Echoes,3000.0
Riot Forge,Ruined King: A League of Legends Story,413.0
Riot Games,League of Legends,13000.0
Rockstar Games,Grand Theft Auto V,30000.0
Rockstar North,Grand Theft Auto V,30000.0
Rockstar Toronto,The Warriors,927.0
Rocksteady Studios,Batman: Arkham Asylum,17000.0
Roll7,Rollerdrome,431.0
Round8 Studio,Lies of P,5.0
Ryū Ga Gotoku Studios,Yakuza 0,15000.0
SIE Santa Monica Studio,God of War,21000.0
SNK,The King of Fighters XV,718.0
